,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object1.heading,point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object1.velocity[0],point.objects.object1.velocity[1],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object2.heading,point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object2.velocity[0],point.objects.object2.velocity[1],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.velocity[0],point.objects.object3.velocity[1],point.params.inter_vehicle_distance,point.params.random_t1,point.params.random_t2,point.params.random_t3,point.params.random_t4,point.params.random_thr_br1,point.params.random_thr_br2,point.params.weather,rho,rho_0,rho_1
0,0.6418330154537204,0.6418330154537204,0.6418330154537204,0.23048100869157295,0.7230291228006296,0.7168401972453917,-1.5703924403491738,-109.9988310277742,-48.87,0.0,0.0,0.8375590602872358,0.7821958412073933,0.7735851551821258,-1.5703924403491738,-119.9976620555484,-48.87,0.0,0.0,0.15055774216971812,0.15055774216971812,0.15055774216971812,-1.5703924403491738,-129.9964930833226,-48.87,0.0,0.0,9.998831027774205,19.15775534184482,23.87505773995833,36.52350541244029,46.82650495763929,0.40896584603750713,0.09418554346413197,10,-0.17056272097537484,-1.0757751466568202,0.34017944336073747
1,0.5733163849633802,0.5297759803702684,0.37506893859159596,0.22673591063610507,0.18252243282056502,0.16155750985216552,-1.5703924403491738,-110.67606522629266,-48.87,0.0,0.0,0.5996600820066252,0.5996600820066252,0.5996600820066252,-1.5703924403491738,-121.35213045258533,-48.87,0.0,0.0,0.5225681054573411,0.5188647790362456,0.5188647790362456,-1.5703924403491738,-132.028195678878,-48.87,0.0,0.0,10.676065226292668,18.45467251103428,23.6687020316154,37.70235992573012,46.771215049999256,0.40761096357355314,0.014945954230156922,12,-0.24719238268849875,-0.9950866729560088,0.59716796875
2,0.7157985229975183,0.8414780153309196,0.6132919261769261,0.9504333672339248,0.948249195743499,0.948249195743499,-1.5703924403491738,-110.27899847535953,-48.87,0.0,0.0,0.22898449604722376,0.33356694203927995,0.4553452879185605,-1.5703924403491738,-120.55799695071906,-48.87,0.0,0.0,0.8085693524364876,0.8085693524364876,0.8085693524364876,-1.5703924403491738,-130.8369954260786,-48.87,0.0,0.0,10.278998475359531,18.757442616751703,23.064748477213953,36.697019682769486,47.30605481312466,0.41061109772999893,0.045661983289693175,4,-0.2255248955028364,-0.86273193359375,-0.13256835162582803
3,0.8713866277608485,0.8472938221787432,0.8305993210021089,1.0,1.0,1.0,-1.5703924403491738,-109.6836977768964,-48.87,0.0,0.0,0.2170639315624826,0.13746793066141488,0.13746793066141488,-1.5703924403491738,-119.36739555379279,-48.87,0.0,0.0,0.7159229352030643,0.5415603305461218,0.22797140139812977,-1.5703924403491738,-129.05109333068918,-48.87,0.0,0.0,9.683697776896395,18.1741359053156,23.970196010663646,36.59281671360688,47.89488022756461,0.44752441296531026,0.04145899536498867,11,-0.25088348382200465,-0.21908569854684234,-0.2216796419270537
4,0.8094983849289475,0.6302589106674719,0.5761184841688535,0.9040399721563972,0.8180349194510177,0.8082603828738022,-1.5703924403491738,-109.14797496878612,-48.87,0.0,0.0,0.8567414639140829,0.3434532477870935,0.3434532477870935,-1.5703924403491738,-118.29594993757223,-48.87,0.0,0.0,0.7163076895528231,0.8493409844761125,0.5780030422797579,-1.5703924403491738,-127.44392490635835,-48.87,0.0,0.0,9.147974968786112,19.045849550755978,23.41491642902689,37.33863810353077,47.56119855011269,0.5829622968920847,0.19147739470799446,1,-0.15100097512051303,-1.111938476581547,0.5448913582419941
5,0.3407435664871302,0.3407435664871302,0.3407435664871302,0.08350685547126258,0.08350685547126258,0.08350685547126258,-1.5703924403491738,-109.70448609851337,-48.87,0.0,0.0,0.6815570957457439,0.6759925695288024,0.6716658110313872,-1.5703924403491738,-119.40897219702674,-48.87,0.0,0.0,0.8432327994829667,0.7743352897242162,0.46014935609233953,-1.5703924403491738,-129.1134582955401,-48.87,0.0,0.0,9.704486098513375,18.211654388858925,23.20762715981625,37.26743229824601,46.92055190416169,0.42036880437651847,0.09870462010986965,1,-0.2503356895296527,-0.8298034670414953,-0.03173822948915106
6,0.38548771398398923,0.3699033721614299,0.3020192367314258,0.8008594752330692,0.7758514666962204,0.7511615877929773,-1.5703924403491738,-110.09010294291052,-48.87,0.0,0.0,0.8351341849506217,0.8239947969450637,0.8187222531328435,-1.5703924403491738,-120.18020588582104,-48.87,0.0,0.0,0.709249590309344,0.7086746625129094,0.7076999562796805,-1.5703924403491738,-130.27030882873157,-48.87,0.0,0.0,10.090102942910521,18.672487290133056,23.545666383715513,37.265586659083205,47.57346750579899,0.4052844869891361,0.0849408952358219,7,-0.01177978515625,-1.064941407478467,0.3702392578246938
7,0.6634874027190557,0.5293823008285307,0.5293823008285307,1.0,1.0,1.0,-1.5703924403491738,-109.8570960421398,-48.87,0.0,0.0,0.4833529083285679,0.6041615442754247,0.585801428557777,-1.5703924403491738,-119.7141920842796,-48.87,0.0,0.0,0.6951017912607957,0.6587542979253944,0.6587542979253944,-1.5703924403491738,-129.5712881264194,-48.87,0.0,0.0,9.857096042139798,18.871192155312706,23.480234925656305,37.019506571932126,47.055432550615095,0.5019023527841376,0.006383981588659759,7,-0.2016601314061388,-0.15365600758883602,-0.23870739719660872
0,0.5876490044763437,0.29104988143106325,0.29104988143106325,0.8612633266244185,0.8612633266244185,0.8612633266244185,-1.5703924403491738,-110.5948229449526,-48.87,0.0,0.0,0.9094861861676076,0.9094861861676076,0.9094861861676076,-1.5703924403491738,-121.1896458899052,-48.87,0.0,0.0,0.1667138122287403,0.1667138122287403,0.1667138122287403,-1.5703924403491738,-131.7844688348578,-48.87,0.0,0.0,10.594822944952602,18.058718876740322,23.221944682526157,38.12565956583596,46.52523595414975,0.480720362419315,0.1328351274831749,7,0.668243408203125,-2.043060302735408,1.2489013672061295
1,0.5057376100881783,0.5382722260816722,0.42727360124066605,0.6837928561493744,0.6710303734361988,0.2612405272917194,-1.5703924403491738,-107.77889453216974,-48.87,0.0,0.0,0.0,0.0,0.0,-1.5703924403491738,-115.55778906433949,-48.87,0.0,0.0,0.8564441479187939,0.8564441479187939,0.8564441479187939,-1.5703924403491738,-123.33668359650923,-48.87,0.0,0.0,7.778894532169744,19.923926191052836,24.499033254568346,36.4799427903014,47.640410881194256,0.5906306486205847,0.04214997723119855,13,-0.2392565827967328,0.2407149304865266,-0.2393822733675819
2,0.22243955840197727,0.5158206382687494,0.22002355611930824,0.2826159321481654,0.40961368293934247,0.6367140357182194,-1.5703924403491738,-125.71876222303175,-48.87,0.0,0.0,0.8377405606190043,0.6794644610279902,0.5575896875880773,-1.5703924403491738,-151.4375244460635,-48.87,0.0,0.0,0.933264096755728,0.933264096755728,0.933264096755728,-1.5703924403491738,-177.15628666909524,-48.87,0.0,0.0,25.718762223031746,11.784509876256765,27.038658707215856,31.16931901782961,48.338445940516976,0.21451518216324122,0.5378778184000801,0,16.571395876023267,-17.89023209232307,17.323673249010994
3,0.13277912681917678,0.13277912681917678,0.13277912681917678,0.9527844132327582,0.9527844132327582,0.9527844132327582,-1.5703924403491738,-126.03659116907448,-48.87,0.0,0.0,0.4583354332428428,0.42754184985760085,0.39478226207163164,-1.5703924403491738,-152.07318233814897,-48.87,0.0,0.0,0.42104273740690323,0.6320666337165364,0.7055380972962679,-1.5703924403491738,-178.10977350722345,-48.87,0.0,0.0,26.03659116907449,11.873833675135627,27.678323629118776,31.285002855674385,49.028234977789694,0.2735642653739774,0.579552088057311,9,17.744208336676223,-18.714900974950982,18.253887176665113
4,0.4318001645525755,0.4168696648306728,0.4133479420274787,0.814507742221187,0.8125313201740089,0.7927522899092749,-1.5703924403491738,-114.7945267794159,-48.87,0.0,0.0,0.8356972156598295,0.8059814551735366,0.804292837882294,-1.5703924403491738,-129.5890535588318,-48.87,0.0,0.0,0.17711418015356115,0.16219253414836068,0.15506051122193568,-1.5703924403491738,-144.38358033824773,-48.87,0.0,0.0,14.794526779415909,14.315521540022743,26.196572660502937,39.96747909172015,44.54104421926809,0.9457602471316202,0.3330994465844585,8,9.648101806690297,-9.794517517089844,9.789489746176892
5,0.19418025199661348,0.7858649752997041,0.4159921774187979,0.9554571060534685,0.9554571060534685,0.9554571060534685,-1.5703924403491738,-121.24997847872507,-48.87,0.0,0.0,0.8952060628268002,0.84928553008895,0.8487587473266165,-1.5703924403491738,-142.49995695745014,-48.87,0.0,0.0,0.993422185712427,0.991226780611977,0.991226780611977,-1.5703924403491738,-163.7499354361752,-48.87,0.0,0.0,21.249978478725076,16.76275698708075,22.28865533670255,34.905990079837586,41.923786498274936,0.18703408035750382,0.6066378539188512,0,11.833557129062285,-13.13909912134445,12.54093170186092
6,0.915835464503596,0.915835464503596,0.915835464503596,0.7902396048536016,0.7918256250982624,0.5630631727808256,-1.5703924403491738,-116.26782490561176,-48.87,0.0,0.0,0.5114041517679817,0.7198154931414238,0.4168904917662726,-1.5703924403491738,-132.53564981122352,-48.87,0.0,0.0,0.7128043266465982,0.6883746157736559,0.6293198610956252,-1.5703924403491738,-148.80347471683527,-48.87,0.0,0.0,16.267824905611757,12.107930210667675,28.514757097189502,33.19390014623239,44.654567758962116,0.7119893439212701,0.8294587256157676,4,11.033966064489881,-11.267822265625,11.267135620278655
7,0.9852888304234341,0.9852888304234341,0.9852888304234341,0.684842157315894,0.27332500448758845,0.27332500448758845,-1.5703924403491738,-117.8100148441977,-48.87,0.0,0.0,0.8287389530262643,0.6879191623427044,0.6099419131323802,-1.5703924403491738,-135.6200296883954,-48.87,0.0,0.0,0.7867480322995242,0.7867480322995242,0.7867480322995242,-1.5703924403491738,-153.4300445325931,-48.87,0.0,0.0,17.81001484419769,17.53101090293878,29.69084512037094,33.07908558117698,44.78051393811031,0.9683853833601525,0.630739961924261,13,12.728668213212384,-12.810005187988281,12.808815002447943
8,1.0,1.0,1.0,0.8741861767248719,0.8741861767248719,0.8741861767248719,-1.5703924403491738,-115.73321388728402,-48.87,0.0,0.0,0.698484824457235,0.774285696001279,0.7035619604457544,-1.5703924403491738,-131.46642777456805,-48.87,0.0,0.0,0.11840836471905025,0.11840836471905025,0.11840836471905025,-1.5703924403491738,-147.19964166185207,-48.87,0.0,0.0,15.733213887284029,15.763562716651286,25.667845658969554,34.6957691892845,41.655051997752764,0.056756358033380125,0.8816209925314633,5,4.654853823887553,-6.416160593138386,5.74551577525637
9,0.8766060522247687,0.8766060522247687,0.8766060522247687,0.22496288718315152,0.22496288718315152,0.22496288718315152,-1.5703924403491738,-120.94898681169587,-48.87,0.0,0.0,0.8611768676823512,0.8253792681229162,0.8253792681229162,-1.5703924403491738,-141.89797362339175,-48.87,0.0,0.0,0.4716232782150437,0.3631076481680041,0.3631076481680041,-1.5703924403491738,-162.84696043508762,-48.87,0.0,0.0,20.948986811695875,12.916061111232274,21.940742584805623,38.66543746997962,43.84379015424029,0.7790970208707623,0.29984947403772483,13,10.431823730491853,-15.479736328147737,12.107727050785076
10,0.16068321520759327,0.15883162277005247,0.15589036058446765,0.9674534694504509,0.9638011322852384,0.9638011322852384,-1.5703924403491738,-115.46927409971528,-48.87,0.0,0.0,0.027059160653220588,0.027059160653220588,0.027059160653220588,-1.5703924403491738,-130.93854819943056,-48.87,0.0,0.0,0.8354853019728303,0.7793676843805306,0.7793676843805306,-1.5703924403491738,-146.40782229914583,-48.87,0.0,0.0,15.469274099715285,15.309467930405336,21.333855792172304,31.29256785478491,41.364118738125526,0.28676670008172855,0.5972024306787548,12,7.345535293597099,-8.221023560541099,7.807609558355999
11,1.0,1.0,1.0,0.6929340368173982,0.6929340368173982,0.6929340368173982,-1.5703924403491738,-122.30516283968544,-48.87,0.0,0.0,0.6192495331675867,0.6192495331675867,0.6192495331675867,-1.5703924403491738,-144.61032567937087,-48.87,0.0,0.0,1.0,1.0,1.0,-1.5703924403491738,-166.9154885190563,-48.87,0.0,0.0,22.30516283968544,10.389453514740367,25.72712207829065,34.01397011368784,44.70887377267491,0.6151414950722895,0.9520845473955537,13,15.45599365237932,-15.945831298878147,15.708923339844102
12,0.9745589106526921,0.9745589106526921,0.9745589106526921,0.5717695525862787,0.5717695525862787,0.5717695525862787,-1.5703924403491738,-126.74647895941769,-48.87,0.0,0.0,1.0,1.0,1.0,-1.5703924403491738,-153.49295791883537,-48.87,0.0,0.0,0.7958301913743627,0.7968682172800846,0.7821545999387797,-1.5703924403491738,-180.23943687825306,-48.87,0.0,0.0,26.746478959417683,17.75034936652289,28.39451632338833,36.12375980140077,48.35267925582755,0.17561264638303148,0.29372817315815036,3,17.254058838128973,-18.539108276790348,17.89217376725798
13,1.0,1.0,1.0,0.25056149143058953,0.2298604437914811,0.22637140064986716,-1.5703924403491738,-120.27732234443799,-48.87,0.0,0.0,0.7421505952729366,0.519745622532856,0.519745622532856,-1.5703924403491738,-140.55464468887598,-48.87,0.0,0.0,0.5928111480473744,0.5675519513058415,0.48278284708868713,-1.5703924403491738,-160.83196703331396,-48.87,0.0,0.0,20.277322344437987,13.260978266537737,26.970344733889288,39.34217250123586,43.16398200843377,0.8878777926130684,0.7255928294122145,2,13.578536988363663,-15.277320861816406,15.251724245463429
14,0.6613704554740566,0.6928841355197731,0.5903196870658679,0.1698443308372594,0.16963924703371347,0.15018821223702986,-1.5703924403491738,-122.35442321315642,-48.87,0.0,0.0,0.43237242511230145,0.43237242511230145,0.43237242511230145,-1.5703924403491738,-144.70884642631285,-48.87,0.0,0.0,0.06514022576716058,0.06514022576716058,0.06514022576716058,-1.5703924403491738,-167.06326963946927,-48.87,0.0,0.0,22.35442321315642,14.69862698656312,29.50494325238733,34.83877441552148,43.924886401942516,0.04626826241872206,0.32837728790560466,6,11.483448029804375,-12.95505524453364,12.343002319396351
15,0.5425204822071322,0.45931366824088504,0.45931366824088504,0.8567626381054902,0.8255665183631449,0.8255665183631449,-1.5703924403491738,-115.77780619432768,-48.87,0.0,0.0,0.8987365124655204,0.8750586862874281,0.8750586862874281,-1.5703924403491738,-131.55561238865536,-48.87,0.0,0.0,0.17975157825366544,0.17975157825366544,0.17975157825366544,-1.5703924403491738,-147.33341858298306,-48.87,0.0,0.0,15.777806194327686,11.863516191731295,21.068048983603607,39.16009046959127,49.405023075641395,0.8088052060035936,0.8468435209967018,0,10.770477295898125,-10.777809143066406,10.70271301278613
16,0.7602061058538296,0.7093118408799413,0.7091567973551598,0.39494461315335966,0.30183346643935194,0.27700151601035267,-1.5703924403491738,-128.60812345660213,-48.87,0.0,0.0,0.9612854802836361,0.9423233316935802,0.9423233316935802,-1.5703924403491738,-157.21624691320426,-48.87,0.0,0.0,0.5682991926418353,0.5213055681365875,0.5213055681365875,-1.5703924403491738,-185.8243703698064,-48.87,0.0,0.0,28.608123456602144,17.654029593998587,27.16696023196991,32.89876761399854,42.79435656584378,0.3005529517568266,0.7125837499297089,13,20.669731140299984,-21.470489502270876,21.09483337440515
17,0.6943428485410719,0.7167207880867179,0.5454660336636894,0.8292062719570109,0.7843890568389592,0.7787386261049073,-1.5703924403491738,-120.29734057562746,-48.87,0.0,0.0,1.0,1.0,1.0,-1.5703924403491738,-140.59468115125492,-48.87,0.0,0.0,0.43061457249379675,0.353951089889575,0.555529173453299,-1.5703924403491738,-160.89202172688238,-48.87,0.0,0.0,20.29734057562745,13.314782432852253,24.721914028954256,32.22615522438526,45.5418341050703,0.6843493910561088,0.5240206984006892,10,13.342712402358028,-15.297340393066406,15.043548583984375
18,1.0,1.0,1.0,0.04546153967637613,0.03290801250171309,0.03290801250171309,-1.5703924403491738,-113.17641808090825,-48.87,0.0,0.0,0.23258417800862116,0.21563024049791815,0.21563024049791815,-1.5703924403491738,-126.3528361618165,-48.87,0.0,0.0,0.9999999999999999,1.0,1.0,-1.5703924403491738,-139.52925424272473,-48.87,0.0,0.0,13.176418080908244,17.417217760726572,25.314486794835428,36.2944029195094,48.64651712736998,0.9316935179666597,0.4135617940063584,13,8.019073499240235,-8.176414489746094,8.172302246148988
19,0.9649366795533124,0.9649366795533124,0.9649366795533124,0.9949667604598287,0.9944773467569911,0.9937028627580153,-1.5703924403491738,-120.81956402450797,-48.87,0.0,0.0,0.6185709968184712,0.29897798522321284,0.20009169108969493,-1.5703924403491738,-141.63912804901594,-48.87,0.0,0.0,0.2617877116087005,0.2617877116087005,0.2617877116087005,-1.5703924403491738,-162.4586920735239,-48.87,0.0,0.0,20.819564024507965,10.438788949376013,27.330533750602875,33.3933503489276,45.5145741709986,0.2956603032265651,0.8359811497662666,2,12.814265013038838,-13.762048728276849,13.302990913439213
20,0.6998634825904448,0.5808644550052512,0.5713438941524027,0.7604558677696894,0.7601720774310777,0.7599207544662724,-1.5703924403491738,-117.97485296954267,-48.87,0.0,0.0,0.8336009091652663,0.8336009091652663,0.8336009091652663,-1.5703924403491738,-135.94970593908533,-48.87,0.0,0.0,0.9167208401987531,0.9104107064039844,0.6391275474653298,-1.5703924403491738,-153.924558908628,-48.87,0.0,0.0,17.97485296954266,14.77473910798675,22.7529402500682,31.135756464793747,41.54041034391922,0.18481507433952057,0.24246936392851381,1,8.523887636345446,-9.853935242973277,9.236953736480498
21,0.589482425219511,0.5888769151587003,0.5888769151587003,0.8665257506639431,0.8638770679529609,0.8539618836131876,-1.5703924403491738,-127.35389234268658,-48.87,0.0,0.0,0.20021820725236117,0.20021820725236117,0.20021820725236117,-1.5703924403491738,-154.70778468537316,-48.87,0.0,0.0,1.0,1.0,1.0,-1.5703924403491738,-182.06167702805973,-48.87,0.0,0.0,27.353892342686574,12.40518052984355,28.41901590874028,39.907706274560084,43.35930974265455,0.7323034972535265,0.7155386077095307,10,22.34255981445552,-22.3538818359375,22.20783996592728
22,0.32992019974165704,0.3161847963653037,0.31429203843484527,1.0,1.0,1.0,-1.5703924403491738,-116.84376599790116,-48.87,0.0,0.0,0.7403074152351306,0.6781116181369772,0.577985768202081,-1.5703924403491738,-133.68753199580232,-48.87,0.0,0.0,0.16852128616693507,0.16852128616693507,0.16852128616693507,-1.5703924403491738,-150.53129799370348,-48.87,0.0,0.0,16.84376599790115,14.612418496747217,25.395649015625786,32.370673971860754,49.99389316554584,0.3334974287642769,0.5815878485846683,1,9.312217713098308,-10.009475708201716,9.677223206139471
23,0.8367276586427059,0.8367276586427059,0.8367276586427059,0.7469772969563362,0.3607879970163399,0.3607879970163399,-1.5703924403491738,-126.5618767330931,-48.87,0.0,0.0,0.761454207904834,0.706733038098133,0.2778286979748553,-1.5703924403491738,-153.1237534661862,-48.87,0.0,0.0,1.0,1.0,1.0,-1.5703924403491738,-179.6856301992793,-48.87,0.0,0.0,26.561876733093104,11.276716912013205,29.524099222361976,33.319576323540176,41.09337640736586,0.7876658265815897,0.3030875675848844,11,21.55081176785874,-21.561874389648438,21.460708618253154
